"Step","model_2 - train/cross_entropy_loss","model_2 - train/cross_entropy_loss__MIN","model_2 - train/cross_entropy_loss__MAX","model_1 - train/cross_entropy_loss","model_1 - train/cross_entropy_loss__MIN","model_1 - train/cross_entropy_loss__MAX","model_5 - train/cross_entropy_loss","model_5 - train/cross_entropy_loss__MIN","model_5 - train/cross_entropy_loss__MAX","model_6 - train/cross_entropy_loss","model_6 - train/cross_entropy_loss__MIN","model_6 - train/cross_entropy_loss__MAX","model_4 - train/cross_entropy_loss","model_4 - train/cross_entropy_loss__MIN","model_4 - train/cross_entropy_loss__MAX","model_3 - train/cross_entropy_loss","model_3 - train/cross_entropy_loss__MIN","model_3 - train/cross_entropy_loss__MAX"
"1","6.9944606822171655","6.9944606822171655","6.9944606822171655","6.937446546211517","6.937446546211517","6.937446546211517","4.842878470317923","4.842878470317923","4.842878470317923","4.884053422392701","4.884053422392701","4.884053422392701","6.360161410818855","6.360161410818855","6.360161410818855","5.815996616006755","5.815996616006755","5.815996616006755"
"2","5.247003222540986","5.247003222540986","5.247003222540986","5.229042794207017","5.229042794207017","5.229042794207017","3.75896888156589","3.75896888156589","3.75896888156589","3.7456733271372404","3.7456733271372404","3.7456733271372404","4.730731181961169","4.730731181961169","4.730731181961169","4.393044478601689","4.393044478601689","4.393044478601689"
"3","4.981542206496644","4.981542206496644","4.981542206496644","4.973899656062503","4.973899656062503","4.973899656062503","3.396741877356879","3.396741877356879","3.396741877356879","3.3691058947885635","3.3691058947885635","3.3691058947885635","4.34022779601941","4.34022779601941","4.34022779601941","4.038449690496321","4.038449690496321","4.038449690496321"
"4","4.842988607694777","4.842988607694777","4.842988607694777","4.823512290021498","4.823512290021498","4.823512290021498","3.171327695572119","3.171327695572119","3.171327695572119","3.140161306737996","3.140161306737996","3.140161306737996","4.043431561627834","4.043431561627834","4.043431561627834","3.8218176965233233","3.8218176965233233","3.8218176965233233"
"5","4.716907034674994","4.716907034674994","4.716907034674994","4.689572917471687","4.689572917471687","4.689572917471687","3.0050054265440798","3.0050054265440798","3.0050054265440798","2.972659390607326","2.972659390607326","2.972659390607326","3.819696570471894","3.819696570471894","3.819696570471894","3.658357896393152","3.658357896393152","3.658357896393152"
"6","4.594853874590757","4.594853874590757","4.594853874590757","4.564061188869339","4.564061188869339","4.564061188869339","2.876554429102287","2.876554429102287","2.876554429102287","2.842207869179815","2.842207869179815","2.842207869179815","3.6461065089959894","3.6461065089959894","3.6461065089959894","3.5270185710714874","3.5270185710714874","3.5270185710714874"
"7","4.479935196663836","4.479935196663836","4.479935196663836","4.460385823421341","4.460385823421341","4.460385823421341","2.7696942030954705","2.7696942030954705","2.7696942030954705","2.7330010434706433","2.7330010434706433","2.7330010434706433","3.5082359708470405","3.5082359708470405","3.5082359708470405","3.4183359626385807","3.4183359626385807","3.4183359626385807"
"8","4.3829623640870015","4.3829623640870015","4.3829623640870015","4.372914070705716","4.372914070705716","4.372914070705716","2.681926650109051","2.681926650109051","2.681926650109051","2.643182703059354","2.643182703059354","2.643182703059354","3.398708057060516","3.398708057060516","3.398708057060516","3.324974396245943","3.324974396245943","3.324974396245943"
"9","4.298554272960416","4.298554272960416","4.298554272960416","4.296439431554122","4.296439431554122","4.296439431554122","2.6004500320489456","2.6004500320489456","2.6004500320489456","2.5617031416447045","2.5617031416447045","2.5617031416447045","3.3044219445839205","3.3044219445839205","3.3044219445839205","3.2429040267313125","3.2429040267313125","3.2429040267313125"
"10","4.227130406194454","4.227130406194454","4.227130406194454","4.230204606227738","4.230204606227738","4.230204606227738","2.5295394753380647","2.5295394753380647","2.5295394753380647","2.491714484400029","2.491714484400029","2.491714484400029","3.2259990740165434","3.2259990740165434","3.2259990740165434","3.169297372694496","3.169297372694496","3.169297372694496"